order_id,customer_name,date,expected_amount
ORD-2026-00001,Priya Sharma,2026-08-24 08:15:00,3503.52
ORD-2026-00002,Priya Kumar,2026-08-24 17:05:00,8939.29
ORD-2026-00003,Ananya Sharma,2026-08-03 06:14:00,7679.26
ORD-2026-00004,Aarav Joshi,2026-08-07 22:41:00,10579.61
ORD-2026-00005,Neha Rao,2026-08-15 18:17:00,12179.57
ORD-2026-00006,Aarav Menon,2026-08-26 05:44:00,6454.69
ORD-2026-00007,Arjun Patel,2026-08-07 10:06:00,1572.64
ORD-2026-00008,Priya Nair,2026-08-28 11:38:00,4114.91
ORD-2026-00009,Ananya Das,2026-08-15 17:07:00,14602.11
ORD-2026-00010,Rahul Verma,2026-08-18 09:53:00,9503.87
ORD-2026-00011,Pooja Singh,2026-08-07 22:04:00,878.2
ORD-2026-00012,Sneha Menon,2026-08-10 02:54:00,3645.31
ORD-2026-00013,Priya Reddy,2026-08-09 14:40:00,12544.83
ORD-2026-00014,Meera Nair,2026-08-12 06:42:00,4151.27
ORD-2026-00015,Rohan Singh,2026-08-21 05:34:00,10991.08
ORD-2026-00016,Meera Gupta,2026-08-13 08:59:00,9672.0
ORD-2026-00017,Sneha Kumar,2026-08-11 01:14:00,12362.68
ORD-2026-00018,Siddharth Reddy,2026-08-09 02:13:00,13714.41
ORD-2026-00019,Siddharth Rao,2026-08-21 15:25:00,13293.31
ORD-2026-00020,Aditya Patel,2026-08-09 04:15:00,11225.84
ORD-2026-00021,Arjun Das,2026-08-19 13:57:00,8836.29
ORD-2026-00022,Pooja Rao,2026-08-05 16:31:00,1545.46
ORD-2026-00023,Ananya Pillai,2026-08-04 04:40:00,2567.73
ORD-2026-00024,Neha Singh,2026-08-03 12:24:00,9019.15
ORD-2026-00025,Aditya Joshi,2026-08-09 17:55:00,14147.98
ORD-2026-00026,Priya Kumar,2026-08-29 17:48:00,4149.01
ORD-2026-00027,Siddharth Verma,2026-08-10 13:10:00,6915.11
ORD-2026-00028,Arjun Joshi,2026-08-25 05:32:00,13706.89
ORD-2026-00029,Divya Pillai,2026-08-21 16:38:00,3143.88
ORD-2026-00030,Pooja Menon,2026-08-06 17:49:00,13852.02
ORD-2026-00031,Aarav Singh,2026-08-11 15:01:00,1855.64
ORD-2026-00032,Pooja Pillai,2026-08-26 09:15:00,1057.29
ORD-2026-00033,Rohan Verma,2026-08-24 15:52:00,1224.35
ORD-2026-00034,Karthik Patel,2026-08-22 15:35:00,2643.88
ORD-2026-00035,Neha Rao,2026-08-30 17:48:00,11002.98
ORD-2026-00036,Vikram Das,2026-08-10 12:42:00,9818.2
ORD-2026-00037,Aditya Joshi,2026-08-15 03:15:00,3525.52
ORD-2026-00038,Siddharth Sharma,2026-08-19 17:14:00,8908.91
ORD-2026-00039,Aarav Verma,2026-08-23 20:03:00,3588.34
ORD-2026-00040,Ananya Pillai,2026-08-11 02:32:00,3722.47
ORD-2026-00041,Kavya Rao,2026-08-18 04:46:00,14045.61
ORD-2026-00042,Kavya Rao,2026-08-26 15:51:00,6224.49
ORD-2026-00043,Priya Verma,2026-08-22 13:22:00,6468.96
ORD-2026-00044,Aditya Pillai,2026-08-24 01:43:00,9871.14
ORD-2026-00045,Priya Sharma,2026-08-13 23:21:00,12048.77
ORD-2026-00046,Priya Rao,2026-08-07 06:34:00,6839.48
ORD-2026-00047,Neha Patel,2026-08-09 14:15:00,13142.39
ORD-2026-00048,Rohan Gupta,2026-08-26 17:06:00,948.71
ORD-2026-00049,Aarav Verma,2026-08-30 07:10:00,6214.93
ORD-2026-00050,Kavya Rao,2026-08-28 12:57:00,1067.8
